,score,scale,theta_all,trans_x,trans_y,pro1,pro2
60,11.43977296,1.8,2.98096595,-5,1,1.096047255,1.727603034
61,11.83796309,1.8,-1.34303063,-5,1,1.134204465,1.56497841
62,11.60023933,1.8,1.39790948,-5,1,1.111423946,1.962581693
63,11.76615519,1.8,-2.4714877,-5,1,1.127318726,1.621186276
64,10.66898326,1.8,2.6537419,-5,1,1.022197457,1.477502277
65,10.15429557,1.8,2.97147626,-5,1,0.972885365,1.421805803
66,10.2930984,1.8,2.46415358,-5,1,0.986183841,1.419695733
67,10.88914334,1.8,-1.76482824,-5,1,1.043295598,1.786202515
68,9.955105049,1.8,-2.9220091,-5,1,0.953801046,1.39975058
69,11.76085333,1.8,2.24789072,-5,1,1.126809983,1.844844421
70,9.956193225,1.8,-3.08901962,-5,1,0.953905262,1.381853827
71,9.036976241,1.8,2.29393953,-5,1,0.865834654,1.161360315
72,9.787983722,1.8,-1.49264005,-5,1,0.937793944,1.350404636
73,8.45786861,1.8,2.93731679,-5,1,0.81035029,1.208495216
74,12.15836614,1.8,-2.87677879,-5,1,1.164896042,1.587172514
75,11.72717996,1.8,-1.29813995,-5,1,1.123590372,1.517791212
76,10.52144749,1.8,1.92373897,-5,1,1.008062908,1.298605849
77,9.949279957,1.8,-0.94149528,-5,1,0.95324972,1.523146274
78,10.13629194,1.8,-0.68924073,-5,1,0.971169997,1.389768894
79,12.77268809,1.8,-1.2487751,-5,1,1.223761482,1.559179933
80,10.2317533,1.8,1.56691475,-5,1,0.980308124,1.244130634
81,9.075449686,1.8,2.40520512,-5,1,0.869520702,1.461818766
82,11.62622718,1.8,0.70081468,-5,1,1.113922838,1.595027899
83,10.60932918,1.8,-2.25536606,-5,1,1.016483658,1.44635166
84,11.88675216,1.8,1.65424821,-5,1,1.138873908,1.651990565
85,11.19728836,1.8,1.68677433,-5,1,1.072816046,1.483616315
86,10.18659827,1.8,-2.46434799,-5,1,0.975980939,1.578633595
87,10.83114756,1.8,1.81284838,-5,1,1.037735641,1.402916964
88,11.19770779,1.8,2.82409524,-5,1,1.072854792,1.886547602
89,11.28924311,1.8,2.40386704,-5,1,1.081624706,1.349103542
90,12.02408691,1.8,-2.44037851,-5,1,1.152031333,1.451055038
91,11.7495314,1.8,-1.22945593,-5,1,1.125732077,1.752538375
92,12.00267783,1.8,-1.8432757,-5,1,1.149983519,1.783549269
93,10.06043901,1.8,-1.44131499,-5,1,0.963898241,1.611228343
94,11.22075335,1.8,2.72374784,-5,1,1.075062706,1.596001038
95,11.76595622,1.8,-2.30208139,-5,1,1.127300288,1.515667769
96,12.32706398,1.8,1.2421195,-5,1,1.181062333,1.562878355
97,10.64680823,1.8,-1.86532576,-5,1,1.020076736,1.352348772
98,11.58268312,1.8,-1.17394975,-5,1,1.109746382,1.707708862
99,11.50183711,1.8,-1.45908,-5,1,1.10199962,1.540481325
100,10.52183136,1.8,1.90298532,-5,1,1.008099738,1.228015435
101,12.72691451,1.8,0.05529305,-5,1,1.21939161,1.510157408
102,8.735864976,1.8,2.81209547,-5,1,0.836985094,1.318757406
103,10.45721483,1.8,2.13973625,-5,1,1.001908279,1.30989969
104,9.749124412,1.8,2.34854316,-5,1,0.934065664,1.315197095
105,11.60484874,1.8,-2.06496472,-5,1,1.111865833,1.432845322
106,10.47378888,1.8,-1.51689611,-5,1,1.003501359,1.534389809
107,11.77715409,1.8,0.48765047,-5,1,1.128387951,1.754472201
108,11.22487879,1.8,1.24878483,-5,1,1.075461356,1.589027587
109,12.42801738,1.8,0.62627731,-5,1,1.190745039,1.502538575
110,10.26226205,1.8,0.70306657,-5,1,0.983239652,1.377746473
111,11.84791813,1.8,3.03382403,-5,1,1.135151781,1.864211221
112,12.09801569,1.8,1.96173732,-5,1,1.159114256,1.607849981
113,10.59582345,1.8,-1.17609802,-5,1,1.01519454,1.406342805
114,9.520162873,1.8,3.04031123,-5,1,0.912129015,1.686524156
115,11.60081382,1.8,0.95837251,-5,1,1.111483142,1.626493318
116,11.02296546,1.8,-2.91299663,-5,1,1.056113015,1.48370591
117,12.56972934,1.8,-2.9270713,-5,1,1.204308837,1.591943788
118,10.37014512,1.8,-2.65378671,-5,1,0.993566279,1.667908419
119,10.02981987,1.8,1.61910021,-5,1,0.960960663,1.50504957
120,13.35765142,1.8,-0.93352099,-5,1,1.279809015,1.385068701
121,10.06062918,1.8,0.63538603,-5,1,0.963922224,1.631069886
122,11.01405433,1.8,-1.60699875,-5,1,1.055264215,1.748748054
123,12.24109477,1.8,2.69008482,-5,1,1.172821803,1.705249598
124,10.89788769,1.8,1.83607459,-5,1,1.044129974,1.596223982
125,10.3096705,1.8,2.54414152,-5,1,0.987771601,2.104690609
126,10.5329863,1.8,2.57983755,-5,1,1.009167536,1.578968795
127,10.60668632,1.8,2.16950109,-5,1,1.016229121,1.400100169
128,10.27674048,1.8,-1.96485284,-5,1,0.984619753,1.500570926
129,11.81685327,1.8,0.37643084,-5,1,1.132193745,1.415323062
130,9.460898962,1.8,1.478582565,-5,1,0.906452537,1.088089415
131,12.43502525,1.8,2.240362762,-5,1,1.191402559,1.681948599
132,9.048314419,1.8,2.574800351,-5,1,0.866920824,1.225042973
133,11.29222374,1.8,1.957218759,-5,1,1.081911117,1.39223738
134,9.619092151,1.8,-2.4584242,-5,1,0.921608027,1.254785602
135,8.511672707,1.8,1.562409205,-5,1,0.815506567,1.085084102
136,12.38884374,1.8,-2.551485263,-5,1,1.18697849,1.687025807
137,10.45188713,1.8,-2.922280871,-5,1,1.001397858,1.44126532
138,11.05486049,1.8,-0.685208945,-5,1,1.059179182,1.520720885
139,10.7665311,1.8,1.16717547,-5,1,1.031547464,1.772702014
140,11.07804739,1.8,-2.850847812,-5,1,1.061390445,1.690191159
141,10.93169374,1.8,-1.593995856,-5,1,1.047373248,1.6025548
142,8.889768821,1.8,0.711609456,-5,1,0.85173929,1.461299174
143,11.0779681,1.8,2.612710603,-5,1,1.06138236,1.894295647
144,9.865759628,1.8,0.806024472,-5,1,0.945248496,1.708057522
145,9.673382346,1.8,1.360636585,-5,1,0.926811102,1.636730135
146,10.56037998,1.8,-2.081319451,-5,1,1.011794712,1.317345865
147,10.47614257,1.8,-0.496522112,-5,1,1.003734411,2.318887683
148,10.27387555,1.8,1.227438167,-5,1,0.984345395,1.916616641
149,10.76894399,1.8,3.102278281,-5,1,1.031775063,1.527088107
150,12.51076602,1.8,-2.370337136,-5,1,1.198660463,1.653822248
151,10.81100919,1.8,-0.876950607,-5,1,1.035813311,1.519082221
152,9.645457361,1.8,2.583988716,-5,1,0.92413321,1.668175149
153,10.43367313,1.8,1.64020073,-5,1,0.999653932,1.435008826
154,9.771042507,1.8,1.934095201,-5,1,0.936166368,1.34497852
155,9.788682883,1.8,-2.220789585,-5,1,0.937857389,1.744123167
156,10.85983883,1.8,-2.217192247,-5,1,1.04048526,1.442424154
157,10.62384051,1.8,-1.030373888,-5,1,1.017879453,1.758755598
158,11.65332849,1.8,-0.383010458,-5,1,1.116524377,1.897323411
159,11.29422313,1.8,1.64728511,-5,1,1.082103513,1.313573508
160,11.45466197,1.8,2.375254286,-5,1,1.097473547,1.763901078
161,10.38310351,1.8,-1.398853555,-5,1,0.99481309,1.394793925
162,10.70568555,1.8,-2.280816,-5,1,1.025715483,1.359182892
163,8.710868873,1.8,2.54108884,-5,1,0.834590096,1.151638532
164,10.77668157,1.8,-2.630748082,-5,1,1.032516669,2.05115685
165,12.40521725,1.8,0.082194203,-5,1,1.188569116,1.839108929
166,11.66651931,1.8,-2.785185779,-5,1,1.117772113,2.117896976
167,9.776438506,1.8,2.889839503,-5,1,0.93668273,1.817025399
168,9.395115294,1.8,1.208850633,-5,1,0.900151038,1.436547053
169,9.069623772,1.8,2.112742238,-5,1,0.868962891,1.694435612
170,12.9190609,1.8,-2.233215589,-5,1,1.237780011,1.602375463
171,12.2371695,1.8,-0.299392928,-5,1,1.172464659,1.518039091
172,10.93856398,1.8,2.166752515,-5,1,1.048026403,1.635475828
173,13.13636496,1.8,-1.313667807,-5,1,1.258605451,1.424273457
174,10.81293168,1.8,-2.533549922,-5,1,1.035989963,1.453478343
175,10.64059365,1.8,-1.807740056,-5,1,1.019481653,1.318543154
176,12.35715313,1.8,1.268673595,-5,1,1.183944984,1.77078778
177,9.633258279,1.8,2.643491915,-5,1,0.922964431,1.357993527
178,10.30504195,1.8,-2.217676413,-5,1,0.987329959,1.593958464
179,10.18400755,1.8,1.820146297,-5,1,0.975732936,1.28341263
180,12.14941324,1.8,-2.29356965,-5,1,1.164039476,1.442031549
181,11.14681388,1.8,-0.81011479,-5,1,1.067987756,1.500581258
182,10.73016041,1.8,2.586806675,-5,1,1.028058828,1.507103749
183,11.7818763,1.8,1.533168928,-5,1,1.128826106,1.784932184
184,10.38049272,1.8,0.190842634,-5,1,0.994575652,1.382152448
185,8.712929896,1.8,1.180465157,-5,1,0.834790674,1.171700103
186,11.25641411,1.8,-1.406254591,-5,1,1.078485625,1.553773225
187,11.9155205,1.8,-2.727396458,-5,1,1.141629017,1.607674689
188,10.21319049,1.8,-2.732095077,-5,1,0.978528347,1.28585658
189,9.127472884,1.8,-0.00283728,-5,1,0.874521697,1.131854443
190,10.67039836,1.8,2.927742259,-5,1,1.022333254,1.548733948
191,12.13633425,1.8,-1.160354897,-5,1,1.162792201,1.676527396
192,9.936031702,1.8,-1.478034355,-5,1,0.951978576,1.32051012
193,11.38083416,1.8,1.916745307,-5,1,1.09040101,1.541914411
194,10.18636941,1.8,1.858446477,-5,1,0.975959135,1.268143676
195,11.54425272,1.8,-1.847008643,-5,1,1.10606152,1.249247456
196,10.23321865,1.8,2.869989862,-5,1,0.980446919,1.270374049
197,8.938205713,1.8,2.05150077,-5,1,0.856371806,1.234767183
198,10.51761082,1.8,-0.258906606,-5,1,1.007711312,1.353638981
199,9.479171014,1.8,-2.942367364,-5,1,0.908201686,1.278422588
200,11.5241661,1.8,1.188116195,-5,1,1.104136714,1.512765309
201,10.58637343,1.8,2.643141384,-5,1,1.014282588,1.266670067
202,9.797541867,1.8,1.626780696,-5,1,0.938706004,1.490969678
203,11.40173304,1.8,-1.452316341,-5,1,1.092408597,1.431892348
204,9.126388447,1.8,1.909139679,-5,1,0.874401931,1.288146784
205,11.51334031,1.8,-2.796408759,-5,1,1.103095989,1.451027641
206,12.13212994,1.8,2.860716819,-5,1,1.162382016,1.423734036
207,10.46721252,1.8,-2.738539403,-5,1,1.002866257,1.485923011
208,11.74034511,1.8,1.642478554,-5,1,1.124846633,1.467201514
209,11.4346435,1.8,2.768297455,-5,1,1.095555602,1.722983728
210,11.16216236,1.8,-0.902623207,-5,1,1.069457413,1.429759291
211,11.22512496,1.8,1.477523754,-5,1,1.075483744,1.717517298
