,scale,x_A,x_B,y_A,y_B,sigma_x_A,sigma_x_B,sigma_y_A,sigma_y_B
75,0.09333333333333334,55.60524877217438,70.66312946206125,63.972060335598165,62.847083278196415,20.857014708194562,24.813599191075077,19.17293382814949,23.290793292924995
76,0.8066666666666666,24.1511105843308,75.45944394995726,66.12967595565648,63.204524736400536,19.61915106206888,21.76558538587422,12.147515712785225,18.35628619859152
77,0.5066666666666667,48.73131523395402,73.49218324888544,64.71047853148357,63.1371377082784,17.693752251444113,22.18138303358076,14.58486882099372,19.72611870887549
78,0.64,44.26325807982421,73.59298623320217,64.81734923768849,63.43519962380752,17.59538828228743,19.729526658979022,13.589989290750232,22.52202733961981
79,0.44,52.59989113912056,68.25783371471604,63.99805677139585,63.413450853325514,18.629137136068312,20.477191977792977,16.345775132063356,17.50590688338875
80,0.02666666666666667,56.24860817058056,70.26843651760076,63.95989126493889,62.84267298166347,21.628962898970574,25.52355883179539,20.120878577164515,24.128845602950364
81,0.6866666666666666,40.59591865283423,74.30342875941481,65.2130660881296,63.44263711432359,17.737427093456553,19.09733749222746,13.086784275493677,22.08716003167332
82,0.12666666666666668,55.418102151342794,70.80754583671731,63.98137558578353,62.73697824560547,20.585650174544643,24.456308706950388,18.882818317858916,22.960847245792255
83,0.49333333333333335,49.55259039300726,72.37137423881734,64.48430391895945,63.604715801381765,17.88381011926898,21.093217174193825,14.893527890500463,23.522990104880375
84,0.7733333333333333,32.82067486298408,74.835538074519,65.81680326045033,63.29291786317388,18.523847903863125,18.80194379628004,12.495824106708593,22.05070540631784
85,0.42,51.460164737778925,71.75801065556354,64.29363663822122,63.535088990857986,18.312859506511494,22.008912088563942,15.716787751062853,24.295563382488258
86,0.21333333333333335,56.64985164558095,65.37916979005757,63.60492838134628,63.35212989004011,22.264751412269437,19.204338147480932,20.865784878153846,17.174612769552404
87,0.7533333333333333,35.07660397058595,74.95612972396732,65.64508870918759,63.3886579276355,18.267407922163596,18.62209557868975,12.623245466379824,21.826608891895663
88,0.5066666666666667,48.73260994478717,73.88360998367725,64.73013110515512,62.93442222680242,17.692880021564577,21.64586664254074,14.58535739758222,19.250752588508384
89,0.0,58.415395877021986,65.71803851256985,63.47924166696517,62.996916369910934,26.133970789846895,18.543730117224552,25.190827366540343,17.283723129419332
90,0.6733333333333333,42.36733624933655,74.10350122481584,65.01717827198009,63.4226120136858,17.718053555249124,19.299720696789787,13.328679013736528,22.25789132342555
