,distance,sigma_x_A,sigma_y_A,sigma_x_B,sigma_y_B
16,34.96049602378163,2979.7325197883883,2979.8048618655735,3088.012927543844,3087.109175066271
17,14.281560550828459,3034.4770059490647,3032.5355508727007,2256.2893473908694,2255.9599299869637
18,20.33526619869533,2645.6936965532095,2646.048829132859,2194.119432359907,2193.784578761851
19,18.52293701249503,2230.3846043414246,2231.934328012875,2581.346239547211,2606.92431795175
20,11.583440121768112,2528.410828752598,2529.6261508056014,2813.0887629862314,2814.0346251349533
21,22.416951647508597,1945.4033107440819,1945.2483109950333,2447.59223726724,2447.0820569382972
22,46.458560764851576,3060.0969800793064,3043.9740177638523,2032.3863309056424,2033.5496794616508
23,16.52230278944783,3203.30100939595,3204.1641782342904,4028.3235867638755,4027.507771300406
24,24.628486340954087,3458.198455876455,3458.5002931185477,2327.0396564573384,2324.0094776671726
25,55.63464741284478,2763.4752565293434,2762.295832011328,2125.638762772341,2125.776046585898
26,9.49175655874224,1989.3885722878872,1989.6022404423395,2454.057996717407,2453.7164018514845
27,48.33086453802442,2461.2170265474506,2454.49660333854,4129.826739995417,4131.039068605772
28,9.190068903234014,1605.6981683130573,1605.7214147704094,4379.247289423579,4369.706950789037
29,18.86404941737733,2555.815713024673,2555.640407222381,3473.103102549337,3463.0479084778253
30,40.252046760839264,3138.4124883269988,3137.1895998963932,3095.604905028767,3095.277400260577
31,2.1525418810944266,1979.0677723369308,1981.7936678142398,3293.140101501827,3276.5462810365116
32,3.256216837033071,3895.1517821537714,3890.3220600336413,2825.98291732328,2823.4204101447394
33,57.368482670135585,1951.6600572683042,1952.62365114543,3643.3676097442585,3643.464661158333
34,29.966800517382914,2910.9669823282634,2911.8256194860014,2350.637906023594,2354.23634607683
35,85.93570742819034,2207.3080279987357,2207.6925758376597,3099.4989566071067,3099.2112675813228
36,53.856756074569745,4336.222677860366,4336.676265747118,2601.559568298538,2598.8475740822896
